Pop/GDP,Ind/Tran/Build,AGLU,Fossil,Energy,CCS,LT Price,LUC Price,ST Price,Average Global Cost (%GDP),2100 Forcing
4,0,3,1,0,0,0,0,0,0.001083807,5.47074
0,1,3,1,0,0,0,0,0,0.001740138,5.4482
1,1,3,1,0,0,0,0,0,0.001937177,5.25276
2,1,3,1,0,0,0,0,0,0.002586254,4.75525
3,1,3,1,0,0,0,0,0,0.001836341,4.80772
4,1,3,1,0,0,0,0,0,0.001334545,6.2551
0,2,3,1,0,0,0,0,0,0.001972781,5.58363
1,2,3,1,0,0,0,0,0,0.002140855,5.32977
2,2,3,1,0,0,0,0,0,0.002707455,4.78295
3,2,3,1,0,0,0,0,0,0.001937244,4.84404
4,2,3,1,0,0,0,0,0,0.001574661,6.41809
0,3,3,1,0,0,0,0,0,0.001936376,5.5442
1,3,3,1,0,0,0,0,0,0.002092859,5.30211
2,3,3,1,0,0,0,0,0,0.002672231,4.77362
3,3,3,1,0,0,0,0,0,0.00187623,4.81346
4,3,3,1,0,0,0,0,0,0.001549709,6.38352
0,4,3,1,0,0,0,0,0,0.001700712,5.48516
1,4,3,1,0,0,0,0,0,0.001919867,5.29992
2,4,3,1,0,0,0,0,0,0.002582757,4.78276
3,4,3,1,0,0,0,0,0,0.001856995,4.86123
4,4,3,1,0,0,0,0,0,0.001295473,6.29585
0,0,4,1,0,0,0,0,0,0.001439295,4.91491
1,0,4,1,0,0,0,0,0,0.001639181,4.81668
2,0,4,1,0,0,0,0,0,0.002334598,4.51201
3,0,4,1,0,0,0,0,0,0.001624679,4.48386
4,0,4,1,0,0,0,0,0,0.001073514,5.45363
0,1,4,1,0,0,0,0,0,0.001723929,5.45668
1,1,4,1,0,0,0,0,0,0.00191662,5.25834
2,1,4,1,0,0,0,0,0,0.002567711,4.76207
3,1,4,1,0,0,0,0,0,0.001836215,4.81765
4,1,4,1,0,0,0,0,0,0.001321025,6.23301
0,2,4,1,0,0,0,0,0,0.001946055,5.58541
1,2,4,1,0,0,0,0,0,0.002110628,5.33175
2,2,4,1,0,0,0,0,0,0.0026788,4.78906
3,2,4,1,0,0,0,0,0,0.001928922,4.85262
4,2,4,1,0,0,0,0,0,0.001547542,6.40302
0,3,4,1,0,0,0,0,0,0.0019089,5.54658
1,3,4,1,0,0,0,0,0,0.002062761,5.30434
2,3,4,1,0,0,0,0,0,0.002644078,4.77988
3,3,4,1,0,0,0,0,0,0.001870601,4.82239
4,3,4,1,0,0,0,0,0,0.001522487,6.36778
0,4,4,1,0,0,0,0,0,0.001688591,5.49433
1,4,4,1,0,0,0,0,0,0.00190303,5.30667
2,4,4,1,0,0,0,0,0,0.002569754,4.79054
3,4,4,1,0,0,0,0,0,0.001858975,4.87203
4,4,4,1,0,0,0,0,0,0.001281676,6.27516
0,0,0,2,0,0,0,0,0,0.001457716,4.62095
1,0,0,2,0,0,0,0,0,0.001651318,4.56565
2,0,0,2,0,0,0,0,0,0.002348695,4.32059
3,0,0,2,0,0,0,0,0,0.001649143,4.24291
4,0,0,2,0,0,0,0,0,0.001080482,5.13628
0,1,0,2,0,0,0,0,0,0.001734404,5.15109
1,1,0,2,0,0,0,0,0,0.001921706,5.00159
2,1,0,2,0,0,0,0,0,0.00257551,4.56864
3,1,0,2,0,0,0,0,0,0.001856303,4.57106
4,1,0,2,0,0,0,0,0,0.001323323,5.90394
0,2,0,2,0,0,0,0,0,0.001949866,5.27221
1,2,0,2,0,0,0,0,0,0.002110043,5.06727
2,2,0,2,0,0,0,0,0,0.002681871,4.59292
3,2,0,2,0,0,0,0,0,0.001946679,4.60351
4,2,0,2,0,0,0,0,0,0.001539481,6.07877
0,3,0,2,0,0,0,0,0,0.001910864,5.23598
1,3,0,2,0,0,0,0,0,0.002061127,5.04104
2,3,0,2,0,0,0,0,0,0.002646933,4.58451
3,3,0,2,0,0,0,0,0,0.001888955,4.57515
4,3,0,2,0,0,0,0,0,0.00151326,6.04459
0,4,0,2,0,0,0,0,0,0.001700842,5.19183
1,4,0,2,0,0,0,0,0,0.001908561,5.04858
2,4,0,2,0,0,0,0,0,0.002577198,4.59684
3,4,0,2,0,0,0,0,0,0.001878453,4.62353
4,4,0,2,0,0,0,0,0,0.001287761,5.94595
0,0,1,2,0,0,0,0,0,0.001445044,4.89062
1,0,1,2,0,0,0,0,0,0.001643576,4.80188
2,0,1,2,0,0,0,0,0,0.002337334,4.51479
3,0,1,2,0,0,0,0,0,0.00161381,4.46407
4,0,1,2,0,0,0,0,0,0.001084218,5.42912
0,1,1,2,0,0,0,0,0,0.001743495,5.42926
1,1,1,2,0,0,0,0,0,0.001934704,5.2412
2,1,1,2,0,0,0,0,0,0.00258987,4.76423
3,1,1,2,0,0,0,0,0,0.001837342,4.79698
4,1,1,2,0,0,0,0,0,0.001335618,6.20186
0,2,1,2,0,0,0,0,0,0.001974524,5.55646
1,2,1,2,0,0,0,0,0,0.002138348,5.31158
2,2,1,2,0,0,0,0,0,0.002712237,4.79029
3,2,1,2,0,0,0,0,0,0.001938609,4.83111
4,2,1,2,0,0,0,0,0,0.001569255,6.36561
0,3,1,2,0,0,0,0,0,0.001937245,5.5189
1,3,1,2,0,0,0,0,0,0.002090247,5.28543
2,3,1,2,0,0,0,0,0,0.002677011,4.78152
3,3,1,2,0,0,0,0,0,0.001877209,4.80179
4,3,1,2,0,0,0,0,0,0.001544058,6.33223
0,4,1,2,0,0,0,0,0,0.001702396,5.46377
1,4,1,2,0,0,0,0,0,0.001915499,5.28662
2,4,1,2,0,0,0,0,0,0.002584154,4.79125
3,4,1,2,0,0,0,0,0,0.00185645,4.84823
4,4,1,2,0,0,0,0,0,0.001292984,6.23928
0,0,2,2,0,0,0,0,0,0.001474296,5.35233
1,0,2,2,0,0,0,0,0,0.001682825,5.13515
2,0,2,2,0,0,0,0,0,0.002391371,4.73916
3,0,2,2,0,0,0,0,0,0.001628023,4.77889
4,0,2,2,0,0,0,0,0,0.001129192,5.95641
0,1,2,2,0,0,0,0,0,0.001793551,5.89369
1,1,2,2,0,0,0,0,0,0.001991005,5.57522
2,1,2,2,0,0,0,0,0,0.002663634,4.98992
3,1,2,2,0,0,0,0,0,0.001871604,5.11602
4,1,2,2,0,0,0,0,0,0.001395222,6.71995
0,2,2,2,0,0,0,0,0,0.002036853,6.01915
1,2,2,2,0,0,0,0,0,0.002206794,5.64427
2,2,2,2,0,0,0,0,0,0.002797802,5.01676
3,2,2,2,0,0,0,0,0,0.00198135,5.15094
4,2,2,2,0,0,0,0,0,0.001650942,6.86681
0,3,2,2,0,0,0,0,0,0.002002337,5.98363
1,3,2,2,0,0,0,0,0,0.002159389,5.61883
2,3,2,2,0,0,0,0,0,0.002762476,5.0079
3,3,2,2,0,0,0,0,0,0.001917003,5.12187
4,3,2,2,0,0,0,0,0,0.001624302,6.83387
0,4,2,2,0,0,0,0,0,0.00174479,5.92747
1,4,2,2,0,0,0,0,0,0.001965997,5.6182
2,4,2,2,0,0,0,0,0,0.002651785,5.01561
3,4,2,2,0,0,0,0,0,0.001887667,5.16591
4,4,2,2,0,0,0,0,0,0.001342128,6.76083
0,0,3,2,0,0,0,0,0,0.001445447,4.8388
1,0,3,2,0,0,0,0,0,0.001645961,4.75175
2,0,3,2,0,0,0,0,0,0.00233544,4.46257
3,0,3,2,0,0,0,0,0,0.001617668,4.42465
4,0,3,2,0,0,0,0,0,0.001085919,5.39169
0,1,3,2,0,0,0,0,0,0.001744207,5.37789
1,1,3,2,0,0,0,0,0,0.001936468,5.19149
2,1,3,2,0,0,0,0,0,0.002585473,4.71245
3,1,3,2,0,0,0,0,0,0.001841004,4.75788
4,1,3,2,0,0,0,0,0,0.00133824,6.16514
0,2,3,2,0,0,0,0,0,0.001975384,5.50531
1,2,3,2,0,0,0,0,0,0.002139163,5.26185
2,2,3,2,0,0,0,0,0,0.002706066,4.73851
3,2,3,2,0,0,0,0,0,0.001941968,4.79199
4,2,3,2,0,0,0,0,0,0.001572182,6.32933
0,3,3,2,0,0,0,0,0,0.001937981,5.46773
1,3,3,2,0,0,0,0,0,0.002090902,5.23564
2,3,3,2,0,0,0,0,0,0.002670758,4.7297
3,3,3,2,0,0,0,0,0,0.001880572,4.76264
4,3,3,2,0,0,0,0,0,0.001546862,6.29593
0,4,3,2,0,0,0,0,0,0.00170309,5.41226
1,4,3,2,0,0,0,0,0,0.001917659,5.2369
2,4,3,2,0,0,0,0,0,0.002580477,4.73951
3,4,3,2,0,0,0,0,0,0.001860191,4.80914
4,4,3,2,0,0,0,0,0,0.001295471,6.20238
0,0,4,2,0,0,0,0,0,0.001445284,4.85497
1,0,4,2,0,0,0,0,0,0.001641908,4.76174
2,0,4,2,0,0,0,0,0,0.002338559,4.47234
3,0,4,2,0,0,0,0,0,0.001632084,4.43973
4,0,4,2,0,0,0,0,0,0.001076371,5.37512
0,1,4,2,0,0,0,0,0,0.001728535,5.38648
1,1,4,2,0,0,0,0,0,0.001917162,5.19749
2,1,4,2,0,0,0,0,0,0.002569523,4.72015
3,1,4,2,0,0,0,0,0,0.001842459,4.76846
4,1,4,2,0,0,0,0,0,0.001323161,6.14317
0,2,4,2,0,0,0,0,0,0.001949437,5.50857
1,2,4,2,0,0,0,0,0,0.002110053,5.26424
2,2,4,2,0,0,0,0,0,0.002679675,4.74504
3,2,4,2,0,0,0,0,0,0.001935075,4.80105
4,2,4,2,0,0,0,0,0,0.00154547,6.31294
0,3,4,2,0,0,0,0,0,0.00191121,5.47123
1,3,4,2,0,0,0,0,0,0.002061456,5.2382
2,3,4,2,0,0,0,0,0,0.002644842,4.73644
3,3,4,2,0,0,0,0,0,0.001876627,4.77273
4,3,4,2,0,0,0,0,0,0.001519439,6.27918
0,4,4,2,0,0,0,0,0,0.0016922,5.42498
1,4,4,2,0,0,0,0,0,0.001901904,5.24409
2,4,4,2,0,0,0,0,0,0.002569945,4.74801
3,4,4,2,0,0,0,0,0,0.001863878,4.82057
4,4,4,2,0,0,0,0,0,0.001284281,6.18363
0,0,0,0,1,0,0,0,0,0.001606373,4.58701
1,0,0,0,1,0,0,0,0,0.001821125,4.52692
2,0,0,0,1,0,0,0,0,0.002600055,4.26902
3,0,0,0,1,0,0,0,0,0.001837777,4.19278
4,0,0,0,1,0,0,0,0,0.001166088,5.13518
0,1,0,0,1,0,0,0,0,0.001865672,5.13844
1,1,0,0,1,0,0,0,0,0.00207838,4.97347
2,1,0,0,1,0,0,0,0,0.002815499,4.5201
3,1,0,0,1,0,0,0,0,0.002033446,4.52904
4,1,0,0,1,0,0,0,0,0.001404388,5.9286
0,2,0,0,1,0,0,0,0,0.002088692,5.26763
1,2,0,0,1,0,0,0,0,0.002270605,5.04839
2,2,0,0,1,0,0,0,0,0.002921033,4.54594
3,2,0,0,1,0,0,0,0,0.002122907,4.56343
4,2,0,0,1,0,0,0,0,0.001647427,6.09059
0,3,0,0,1,0,0,0,0,0.002052689,5.22762
1,3,0,0,1,0,0,0,0,0.002221141,5.02008
2,3,0,0,1,0,0,0,0,0.002883701,4.53715
3,3,0,0,1,0,0,0,0,0.002063557,4.53405
4,3,0,0,1,0,0,0,0,0.001625514,6.05289
0,4,0,0,1,0,0,0,0,0.001843053,5.17886
1,4,0,0,1,0,0,0,0,0.002076584,5.02257
2,4,0,0,1,0,0,0,0,0.002826818,4.54929
3,4,0,0,1,0,0,0,0,0.002064397,4.58499
4,4,0,0,1,0,0,0,0,0.001368688,5.97832
